year_month,area,aqi_value
2020-01,Bengaluru,100.0
2020-02,Bengaluru,70.0
2020-03,Bengaluru,70.0
2020-04,Bengaluru,70.0
2020-05,Bengaluru,70.0
2020-06,Bengaluru,70.0
2020-07,Bengaluru,70.0
2020-08,Bengaluru,70.0
2020-09,Bengaluru,70.0
2020-10,Bengaluru,70.0
2020-11,Bengaluru,70.0
2020-12,Bengaluru,100.0
2021-01,Bengaluru,100.0
2021-02,Bengaluru,70.0
2021-03,Bengaluru,70.0
2021-04,Bengaluru,70.0
2021-05,Bengaluru,70.0
2021-06,Bengaluru,70.0
2021-07,Bengaluru,70.0
2021-08,Bengaluru,70.0
2021-09,Bengaluru,70.0
2021-10,Bengaluru,70.0
2021-11,Bengaluru,70.0
2021-12,Bengaluru,100.0
2022-04,Bengaluru,87.3
2022-05,Bengaluru,72.45161290322581
2022-06,Bengaluru,60.03333333333333
2022-07,Bengaluru,64.09677419354838
2022-08,Bengaluru,56.806451612903224
2022-09,Bengaluru,59.53333333333333
2022-10,Bengaluru,82.25806451612904
2022-11,Bengaluru,93.26666666666667
2022-12,Bengaluru,84.2258064516129
2023-01,Bengaluru,92.90322580645162
2023-02,Bengaluru,97.92857142857143
2023-03,Bengaluru,78.87096774193549
2023-04,Bengaluru,79.76666666666667
2023-05,Bengaluru,61.645161290322584
2023-06,Bengaluru,52.43333333333333
2023-07,Bengaluru,49.32258064516129
2023-08,Bengaluru,65.80645161290323
2023-09,Bengaluru,48.46666666666667
2023-10,Bengaluru,83.74193548387096
2023-11,Bengaluru,75.0
2023-12,Bengaluru,86.54838709677419
2024-01,Bengaluru,100.09677419354838
2024-02,Bengaluru,90.27586206896552
2024-03,Bengaluru,104.41935483870968
2024-04,Bengaluru,80.46666666666667
2024-05,Bengaluru,66.96774193548387
2024-06,Bengaluru,49.7
2024-07,Bengaluru,50.774193548387096
2024-08,Bengaluru,56.12903225806452
2024-09,Bengaluru,57.0
2024-10,Bengaluru,71.51612903225806
2024-11,Bengaluru,85.13333333333334
2024-12,Bengaluru,75.06451612903226
2025-01,Bengaluru,91.03333333333333
2025-02,Bengaluru,86.39285714285714
2025-03,Bengaluru,92.03225806451613
2025-04,Bengaluru,84.23333333333333
2020-01,Delhi,250.0
2020-02,Delhi,170.0
2020-03,Delhi,170.0
2020-04,Delhi,170.0
2020-05,Delhi,170.0
2020-06,Delhi,170.0
2020-07,Delhi,170.0
2020-08,Delhi,170.0
2020-09,Delhi,170.0
2020-10,Delhi,170.0
2020-11,Delhi,250.0
2020-12,Delhi,250.0
2021-01,Delhi,250.0
2021-02,Delhi,170.0
2021-03,Delhi,170.0
2021-04,Delhi,170.0
2021-05,Delhi,170.0
2021-06,Delhi,170.0
2021-07,Delhi,170.0
2021-08,Delhi,170.0
2021-09,Delhi,170.0
2021-10,Delhi,170.0
2021-11,Delhi,250.0
2021-12,Delhi,250.0
2022-04,Delhi,255.4
2022-05,Delhi,212.16129032258064
2022-06,Delhi,190.03333333333333
2022-07,Delhi,87.29032258064517
2022-08,Delhi,93.25806451612904
2022-09,Delhi,104.43333333333334
2022-10,Delhi,210.0
2022-11,Delhi,320.6
2022-12,Delhi,319.2258064516129
2023-01,Delhi,311.2903225806452
2023-02,Delhi,237.32142857142858
2023-03,Delhi,169.61290322580646
2023-04,Delhi,179.53333333333333
2023-05,Delhi,170.67741935483872
2023-06,Delhi,129.76666666666668
2023-07,Delhi,83.70967741935483
2023-08,Delhi,116.48387096774194
2023-09,Delhi,107.83333333333333
2023-10,Delhi,218.93548387096774
2023-11,Delhi,372.8666666666667
2023-12,Delhi,348.03225806451616
2024-01,Delhi,355.0
2024-02,Delhi,217.89655172413794
2024-03,Delhi,175.58064516129033
2024-04,Delhi,182.03333333333333
2024-05,Delhi,222.83870967741936
2024-06,Delhi,179.06666666666666
2024-07,Delhi,96.06451612903226
2024-08,Delhi,71.74193548387096
2024-09,Delhi,105.43333333333334
2024-10,Delhi,234.06451612903226
2024-11,Delhi,374.4
2024-12,Delhi,293.83870967741933
2025-01,Delhi,304.93333333333334
2025-02,Delhi,214.28571428571428
2025-03,Delhi,169.96774193548387
2025-04,Delhi,210.4
2020-01,Lucknow,230.0
2020-02,Lucknow,160.0
2020-03,Lucknow,160.0
2020-04,Lucknow,160.0
2020-05,Lucknow,160.0
2020-06,Lucknow,160.0
2020-07,Lucknow,160.0
2020-08,Lucknow,160.0
2020-09,Lucknow,160.0
2020-10,Lucknow,160.0
2020-11,Lucknow,230.0
2020-12,Lucknow,230.0
2021-01,Lucknow,230.0
2021-02,Lucknow,160.0
2021-03,Lucknow,160.0
2021-04,Lucknow,160.0
2021-05,Lucknow,160.0
2021-06,Lucknow,160.0
2021-07,Lucknow,160.0
2021-08,Lucknow,160.0
2021-09,Lucknow,160.0
2021-10,Lucknow,160.0
2021-11,Lucknow,230.0
2021-12,Lucknow,230.0
2022-04,Lucknow,202.1
2022-05,Lucknow,132.5483870967742
2022-06,Lucknow,142.73333333333332
2022-07,Lucknow,67.19354838709677
2022-08,Lucknow,54.12903225806452
2022-09,Lucknow,64.86666666666666
2022-10,Lucknow,128.16129032258064
2022-11,Lucknow,203.6
2022-12,Lucknow,208.80645161290323
2023-01,Lucknow,189.41935483870967
2023-02,Lucknow,155.14285714285714
2023-03,Lucknow,113.70967741935483
2023-04,Lucknow,123.76666666666667
2023-05,Lucknow,121.90322580645162
2023-06,Lucknow,104.96666666666667
2023-07,Lucknow,55.645161290322584
2023-08,Lucknow,80.74193548387096
2023-09,Lucknow,74.16666666666667
2023-10,Lucknow,119.19354838709677
2023-11,Lucknow,218.86666666666667
2023-12,Lucknow,172.03225806451613
2024-01,Lucknow,180.25806451612902
2024-02,Lucknow,117.41379310344827
2024-03,Lucknow,114.25806451612904
2024-04,Lucknow,134.06666666666666
2024-05,Lucknow,145.67741935483872
2024-06,Lucknow,116.7
2024-07,Lucknow,61.12903225806452
2024-08,Lucknow,52.61290322580645
2024-09,Lucknow,60.9
2024-10,Lucknow,115.25806451612904
2024-11,Lucknow,229.3
2024-12,Lucknow,182.41935483870967
2025-01,Lucknow,190.6
2025-02,Lucknow,155.96428571428572
2025-03,Lucknow,129.58064516129033
2025-04,Lucknow,141.13333333333333
2020-01,Mumbai,120.0
2020-02,Mumbai,90.0
2020-03,Mumbai,90.0
2020-04,Mumbai,90.0
2020-05,Mumbai,90.0
2020-06,Mumbai,90.0
2020-07,Mumbai,90.0
2020-08,Mumbai,90.0
2020-09,Mumbai,90.0
2020-10,Mumbai,90.0
2020-11,Mumbai,90.0
2020-12,Mumbai,120.0
2021-01,Mumbai,120.0
2021-02,Mumbai,90.0
2021-03,Mumbai,90.0
2021-04,Mumbai,90.0
2021-05,Mumbai,90.0
2021-06,Mumbai,90.0
2021-07,Mumbai,90.0
2021-08,Mumbai,90.0
2021-09,Mumbai,90.0
2021-10,Mumbai,90.0
2021-11,Mumbai,90.0
2021-12,Mumbai,120.0
2022-04,Mumbai,107.13333333333334
2022-05,Mumbai,121.80645161290323
2022-06,Mumbai,61.63333333333333
2022-07,Mumbai,63.96774193548387
2022-08,Mumbai,61.774193548387096
2022-09,Mumbai,60.06666666666667
2022-10,Mumbai,96.51612903225806
2022-11,Mumbai,173.2
2022-12,Mumbai,202.09677419354838
2023-01,Mumbai,202.96774193548387
2023-02,Mumbai,194.07142857142858
2023-03,Mumbai,147.1290322580645
2023-04,Mumbai,105.16666666666667
2023-05,Mumbai,80.06451612903226
2023-06,Mumbai,79.96666666666667
2023-07,Mumbai,71.6774193548387
2023-08,Mumbai,62.54838709677419
2023-09,Mumbai,66.41379310344827
2023-10,Mumbai,145.5483870967742
2023-11,Mumbai,141.23333333333332
2023-12,Mumbai,143.67741935483872
2024-01,Mumbai,116.25806451612904
2024-02,Mumbai,121.65517241379311
2024-03,Mumbai,98.74193548387096
2024-04,Mumbai,99.63333333333334
2024-05,Mumbai,81.45161290322581
2024-06,Mumbai,53.7
2024-07,Mumbai,44.41935483870968
2024-08,Mumbai,42.25806451612903
2024-09,Mumbai,46.56666666666667
2024-10,Mumbai,84.2258064516129
2024-11,Mumbai,153.36666666666667
2024-12,Mumbai,154.67741935483872
2025-01,Mumbai,136.46666666666667
2025-02,Mumbai,122.39285714285714
2025-03,Mumbai,104.2258064516129
2025-04,Mumbai,76.76666666666667
