Week,AQI Meaning,Air Quality Index,Air Purifier,PM 2.5
2020-07-12,3,1,19,12
2020-07-19,0,1,19,10
2020-07-26,0,1,19,9
2020-08-02,0,1,20,9
2020-08-09,3,1,18,9
2020-08-16,0,1,16,5
2020-08-23,0,1,17,4
2020-08-30,3,1,16,0
2020-09-06,3,1,17,7
2020-09-13,3,1,17,7
2020-09-20,0,1,14,5
2020-09-27,0,1,15,4
2020-10-04,0,1,17,0
2020-10-11,4,3,22,13
2020-10-18,8,4,24,15
2020-10-25,7,5,29,19
2020-11-01,13,9,36,31
2020-11-08,24,20,57,42
2020-11-15,24,19,35,38
2020-11-22,13,6,24,19
2020-11-29,9,4,19,13
2020-12-06,5,4,17,13
2020-12-13,6,3,15,14
2020-12-20,7,3,15,12
2020-12-27,7,3,13,8
2021-01-03,6,3,12,11
2021-01-10,5,2,13,10
2021-01-17,3,2,15,10
2021-01-24,3,1,14,12
2021-01-31,3,1,13,10
2021-02-07,4,1,13,10
2021-02-14,4,1,13,11
2021-02-21,3,1,15,9
2021-02-28,0,1,12,10
2021-03-07,0,1,14,10
2021-03-14,3,1,14,12
2021-03-21,0,1,16,9
2021-03-28,0,1,16,12
2021-04-04,3,1,15,11
2021-04-11,3,1,19,9
2021-04-18,0,1,25,16
2021-04-25,0,1,29,12
2021-05-02,4,1,30,10
2021-05-09,5,1,26,10
2021-05-16,5,2,24,12
2021-05-23,4,2,22,11
2021-05-30,3,1,19,10
2021-06-06,4,1,23,9
2021-06-13,4,1,16,8
2021-06-20,3,1,15,9
2021-06-27,3,1,15,8
2021-07-04,13,2,16,8
2021-07-11,6,1,14,8
2021-07-18,2,1,13,6
2021-07-25,2,1,12,6
2021-08-01,3,1,12,7
2021-08-08,3,1,12,5
2021-08-15,3,1,12,8
2021-08-22,3,1,13,7
2021-08-29,3,1,16,5
2021-09-05,4,1,18,6
2021-09-12,0,1,25,4
2021-09-19,0,1,23,10
2021-09-26,2,1,27,8
2021-10-03,0,1,35,7
2021-10-10,0,2,25,7
2021-10-17,3,2,16,8
2021-10-24,3,2,16,8
2021-10-31,18,15,25,19
2021-11-07,15,15,33,20
2021-11-14,35,18,33,22
2021-11-21,16,11,24,16
2021-11-28,12,9,21,14
2021-12-05,7,6,17,14
2021-12-12,6,5,16,10
2021-12-19,8,5,15,6
2021-12-26,6,4,13,7
2022-01-02,7,4,18,13
2022-01-09,5,3,14,8
2022-01-16,7,3,15,12
2022-01-23,6,3,14,8
2022-01-30,4,2,13,8
2022-02-06,4,2,12,7
2022-02-13,4,2,12,10
2022-02-20,4,2,14,8
2022-02-27,3,2,14,10
2022-03-06,3,2,13,12
2022-03-13,3,2,13,9
2022-03-20,3,2,14,11
2022-03-27,1,2,14,12
2022-04-03,3,2,14,12
2022-04-10,2,1,13,6
2022-04-17,3,2,14,9
2022-04-24,4,2,13,13
2022-05-01,3,2,12,9
2022-05-08,6,2,11,11
2022-05-15,5,2,11,12
2022-05-22,5,2,10,8
2022-05-29,3,2,12,9
2022-06-05,6,2,12,13
2022-06-12,5,2,12,10
2022-06-19,3,2,13,5
2022-06-26,3,2,12,4
2022-07-03,4,1,11,5
2022-07-10,2,1,12,4
2022-07-17,2,1,10,9
2022-07-24,3,1,10,7
2022-07-31,2,1,11,9
2022-08-07,2,1,11,4
2022-08-14,2,1,11,17
2022-08-21,3,1,11,8
2022-08-28,3,1,9,9
2022-09-04,2,1,9,9
2022-09-11,2,1,11,8
2022-09-18,3,2,12,7
2022-09-25,2,1,12,8
2022-10-02,3,2,11,10
2022-10-09,4,2,11,6
2022-10-16,5,3,16,9
2022-10-23,18,15,20,15
2022-10-30,29,23,31,18
2022-11-06,23,20,26,16
2022-11-13,9,9,19,16
2022-11-20,6,4,15,10
2022-11-27,6,5,15,9
2022-12-04,9,7,15,12
2022-12-11,5,4,12,11
2022-12-18,7,5,14,10
2022-12-25,7,4,14,8
2023-01-01,7,5,13,11
2023-01-08,6,5,13,8
2023-01-15,6,4,13,14
2023-01-22,6,4,13,8
2023-01-29,5,3,12,8
2023-02-05,4,3,11,8
2023-02-12,4,3,13,9
2023-02-19,7,3,13,11
2023-02-26,4,2,12,10
2023-03-05,4,3,14,11
2023-03-12,4,3,13,10
2023-03-19,3,2,10,7
2023-03-26,2,2,10,6
2023-04-02,3,2,11,9
2023-04-09,3,2,11,9
2023-04-16,5,2,12,8
2023-04-23,2,1,11,9
2023-04-30,4,2,10,5
2023-05-07,2,1,10,6
2023-05-14,3,2,12,7
2023-05-21,3,2,11,5
2023-05-28,2,1,10,4
2023-06-04,4,3,11,6
2023-06-11,3,2,10,4
2023-06-18,4,2,10,10
2023-06-25,4,2,10,8
2023-07-02,3,2,10,9
2023-07-09,2,2,9,6
2023-07-16,2,1,10,7
2023-07-23,2,1,9,7
2023-07-30,2,1,9,7
2023-08-06,2,2,8,10
2023-08-13,3,2,7,10
2023-08-20,2,2,9,5
2023-08-27,2,2,9,11
2023-09-03,3,2,9,10
2023-09-10,2,2,7,7
2023-09-17,2,2,7,8
2023-09-24,3,2,7,7
2023-10-01,4,3,9,12
2023-10-08,4,3,11,13
2023-10-15,12,5,11,15
2023-10-22,18,10,15,15
2023-10-29,45,33,47,41
2023-11-05,62,56,64,59
2023-11-12,52,47,35,51
2023-11-19,27,20,24,27
2023-11-26,25,22,19,31
2023-12-03,18,12,13,20
2023-12-10,18,11,14,18
2023-12-17,15,11,12,17
2023-12-24,13,14,13,21
2023-12-31,16,11,11,19
2024-01-07,15,10,11,22
2024-01-14,17,11,12,20
2024-01-21,13,9,10,18
2024-01-28,9,9,11,14
2024-02-04,8,7,9,10
2024-02-11,7,7,10,10
2024-02-18,8,6,10,11
2024-02-25,8,6,10,16
2024-03-03,8,6,10,14
2024-03-10,9,6,10,13
2024-03-17,8,6,9,21
2024-03-24,11,6,12,14
2024-03-31,11,6,11,17
2024-04-07,7,6,11,17
2024-04-14,11,8,10,18
2024-04-21,13,8,10,13
2024-04-28,20,8,12,17
2024-05-05,19,8,10,13
2024-05-12,18,9,9,9
2024-05-19,18,10,8,13
2024-05-26,23,12,10,21
2024-06-02,21,9,7,15
2024-06-09,20,9,7,13
2024-06-16,25,10,7,8
2024-06-23,27,10,7,8
2024-06-30,30,10,7,11
2024-07-07,29,10,7,9
2024-07-14,27,10,8,8
2024-07-21,22,8,7,8
2024-07-28,13,6,7,8
2024-08-04,16,6,7,5
2024-08-11,24,8,8,7
2024-08-18,31,10,8,8
2024-08-25,30,9,8,8
2024-09-01,26,9,9,5
2024-09-08,30,11,8,10
2024-09-15,37,10,8,10
2024-09-22,35,10,10,9
2024-09-29,34,11,10,8
2024-10-06,33,10,11,6
2024-10-13,40,13,16,10
2024-10-20,37,18,24,14
2024-10-27,49,36,31,27
2024-11-03,49,31,30,24
2024-11-10,47,36,37,41
2024-11-17,100,100,100,100
2024-11-24,51,43,34,42
2024-12-01,38,25,21,25
2024-12-08,33,18,19,18
2024-12-15,39,21,18,18
2024-12-22,33,25,16,18
2024-12-29,24,16,15,17
2025-01-05,30,17,14,20
2025-01-12,31,18,14,14
2025-01-19,27,12,12,15
2025-01-26,27,12,13,14
2025-02-02,28,17,19,12
2025-02-09,19,14,19,15
2025-02-16,22,12,18,22
2025-02-23,20,10,16,10
2025-03-02,16,9,14,7
2025-03-09,25,11,14,5
2025-03-16,25,11,15,7
2025-03-23,18,9,13,13
2025-03-30,17,10,14,28
2025-04-06,16,11,15,42
2025-04-13,16,9,13,17
2025-04-20,19,9,13,13
2025-04-27,17,9,13,13
2025-05-04,20,8,11,10
2025-05-11,12,10,11,9
2025-05-18,9,9,10,10
2025-05-25,5,8,9,5
2025-06-01,6,8,11,12
2025-06-08,8,9,12,7
2025-06-15,7,9,11,7
2025-06-22,7,7,10,7
2025-06-29,6,8,10,8
2025-07-06,5,9,10,6
2025-07-13,5,8,11,7
