state,month,month_num,aqi_value
Andhra Pradesh,Jan,1,114.73764906303236
Andhra Pradesh,Feb,2,94.38087774294671
Andhra Pradesh,Mar,3,78.55
Andhra Pradesh,Apr,4,70.89295774647887
Andhra Pradesh,May,5,68.95841584158416
Andhra Pradesh,Jun,6,63.189035916824196
Andhra Pradesh,Jul,7,49.71189591078067
Andhra Pradesh,Aug,8,55.24354243542435
Andhra Pradesh,Sep,9,52.958955223880594
Andhra Pradesh,Oct,10,77.18887015177066
Andhra Pradesh,Nov,11,95.25170068027211
Andhra Pradesh,Dec,12,99.07037643207856
Bihar,Jan,1,245.56693333333334
Bihar,Feb,2,188.38230289279636
Bihar,Mar,3,147.43716433941998
Bihar,Apr,4,161.41064981949458
Bihar,May,5,132.23230490018148
Bihar,Jun,6,123.32135858915741
Bihar,Jul,7,79.25418474891507
Bihar,Aug,8,80.33353960396039
Bihar,Sep,9,79.32778804682687
Bihar,Oct,10,120.32574152542372
Bihar,Nov,11,229.58367139959432
Bihar,Dec,12,251.80577022153528
Haryana,Jan,1,182.05079155672823
Haryana,Feb,2,139.74752851711025
Haryana,Mar,3,112.12972202423379
Haryana,Apr,4,149.71083718541345
Haryana,May,5,156.45780051150896
Haryana,Jun,6,133.02644103648862
Haryana,Jul,7,74.86595744680851
Haryana,Aug,8,74.85164556962026
Haryana,Sep,9,83.6418383518225
Haryana,Oct,10,152.96234718826406
Haryana,Nov,11,239.46037181996087
Haryana,Dec,12,185.76655808903365
Karnataka,Jan,1,76.63503649635037
Karnataka,Feb,2,76.6405300938708
Karnataka,Mar,3,72.7250645994832
Karnataka,Apr,4,66.45856590811508
Karnataka,May,5,60.230154501864675
Karnataka,Jun,6,50.30952380952381
Karnataka,Jul,7,44.98589256646772
Karnataka,Aug,8,46.60601092896175
Karnataka,Sep,9,44.72947857511616
Karnataka,Oct,10,60.51404632824051
Karnataka,Nov,11,74.96163069544365
Karnataka,Dec,12,71.60873739798367
Madhya Pradesh,Jan,1,141.35085007727974
Madhya Pradesh,Feb,2,117.45166809238665
Madhya Pradesh,Mar,3,105.42153846153846
Madhya Pradesh,Apr,4,119.28606811145511
Madhya Pradesh,May,5,115.48255813953489
Madhya Pradesh,Jun,6,86.6725521669342
Madhya Pradesh,Jul,7,56.905660377358494
Madhya Pradesh,Aug,8,62.585992217898834
Madhya Pradesh,Sep,9,66.29696472518458
Madhya Pradesh,Oct,10,114.66718146718146
Madhya Pradesh,Nov,11,164.53745173745173
Madhya Pradesh,Dec,12,144.82709580838323
Maharashtra,Jan,1,141.34351949420443
Maharashtra,Feb,2,128.36067415730338
Maharashtra,Mar,3,122.87333333333333
Maharashtra,Apr,4,104.35729847494554
Maharashtra,May,5,99.16777188328912
Maharashtra,Jun,6,70.24304715840387
Maharashtra,Jul,7,51.37810140237325
Maharashtra,Aug,8,53.914165350184305
Maharashtra,Sep,9,59.00544959128065
Maharashtra,Oct,10,108.8521421107628
Maharashtra,Nov,11,158.83297180043385
Maharashtra,Dec,12,138.70607028753994
Odisha,Jan,1,193.60726351351352
Odisha,Feb,2,144.8860294117647
Odisha,Mar,3,137.72535804549284
Odisha,Apr,4,129.213608957795
Odisha,May,5,98.8074369189907
Odisha,Jun,6,92.39684813753581
Odisha,Jul,7,57.656294200848656
Odisha,Aug,8,65.72687861271676
Odisha,Sep,9,61.353932584269664
Odisha,Oct,10,91.32987012987013
Odisha,Nov,11,153.50627615062763
Odisha,Dec,12,167.73719563392106
Rajasthan,Jan,1,165.44479495268138
Rajasthan,Feb,2,131.83060921248142
Rajasthan,Mar,3,118.79416282642089
Rajasthan,Apr,4,132.30637422892391
Rajasthan,May,5,137.70744138634046
Rajasthan,Jun,6,110.33990895295904
Rajasthan,Jul,7,82.07548972766364
Rajasthan,Aug,8,79.33555133079848
Rajasthan,Sep,9,79.57760691975012
Rajasthan,Oct,10,120.9665137614679
Rajasthan,Nov,11,193.22237569060775
Rajasthan,Dec,12,176.3413120567376
Tamil Nadu,Jan,1,90.17501988862371
Tamil Nadu,Feb,2,81.79276895943562
Tamil Nadu,Mar,3,69.8046332046332
Tamil Nadu,Apr,4,61.693430656934304
Tamil Nadu,May,5,61.28790199081164
Tamil Nadu,Jun,6,55.13333333333333
Tamil Nadu,Jul,7,56.13253012048193
Tamil Nadu,Aug,8,55.86459802538787
Tamil Nadu,Sep,9,50.64594309799789
Tamil Nadu,Oct,10,59.19047619047619
Tamil Nadu,Nov,11,71.84140969162996
Tamil Nadu,Dec,12,77.93714821763602
Uttar Pradesh,Jan,1,160.4508379888268
Uttar Pradesh,Feb,2,122.90545454545455
Uttar Pradesh,Mar,3,108.84050772626932
Uttar Pradesh,Apr,4,138.23080337328008
Uttar Pradesh,May,5,135.87290583477758
Uttar Pradesh,Jun,6,122.77449822904369
Uttar Pradesh,Jul,7,63.495156695156695
Uttar Pradesh,Aug,8,70.22974472807991
Uttar Pradesh,Sep,9,77.50666666666666
Uttar Pradesh,Oct,10,144.2831955922865
Uttar Pradesh,Nov,11,200.60720315137874
Uttar Pradesh,Dec,12,166.21994459833795
