area,aqi_value
Byrnihat,284.1949152542373
Delhi,238.92
Hajipur,233.66666666666666
Bahadurgarh,226.4375
Gurugram,204.14383561643837
Patna,199.65333333333334
Durgapur,194.46
Ghaziabad,194.09333333333333
Rohtak,188.32758620689654
Singrauli,186.23076923076923
Asansol,185.79333333333332
Talcher,181.46616541353384
Mandideep,180.44285714285715
Charkhi Dadri,178.71929824561403
Guwahati,176.26
Angul,173.29577464788733
Howrah,172.74
Nalbari,172.4959349593496
Ballabgarh,171.25
Bihar Sharif,170.96825396825398
Sri Ganganagar,170.96575342465752
Pali,170.79194630872485
Dhanbad,170.51470588235293
Greater Noida,170.46666666666667
Barrackpore,169.38571428571427
Sasaram,169.16788321167883
Bhiwadi,168.48993288590603
NOIDA,167.97333333333333
Muzaffarpur,166.62
Begusarai,166.45833333333334
Hisar,165.4375
Narnaul,165.08333333333334
Nagaur,164.8082191780822
Rourkela,163.73825503355704
Baghpat,163.552
Churu,163.21379310344827
Manesar,161.64705882352942
Kunjemura,160.0144927536232
Lucknow,159.94
Baddi,159.83333333333334
Bhiwani,159.35294117647058
Barbil,159.3308823529412
Sikar,158.52666666666667
Ahmednagar,158.3923076923077
Pithampur,157.85333333333332
Jhunjhunu,157.46308724832215
Sirsa,157.33333333333334
Chandigarh,156.98
Tumakuru,156.95535714285714
Sonipat,156.75
Panchkula,155.0
Gwalior,154.7
Bulandshahr,153.12666666666667
Jind,152.9375
Balasore,152.04379562043795
Bileipada,151.484375
Byasanagar,151.11971830985917
Purnia,150.9402985074627
Bikaner,150.90322580645162
Kota,150.77333333333334
Kishanganj,150.4
Rajgir,149.55128205128204
Cuttack,149.45
Dausa,149.3846153846154
Hanumangarh,149.1851851851852
Jaipur,148.07333333333332
Saharsa,147.25984251968504
Araria,146.9765625
Bundi,146.02173913043478
Faridabad,145.5
Khurja,144.89763779527559
Agartala,144.0888888888889
Bettiah,143.03125
Sawai Madhopur,142.97916666666666
Jalore,142.8450704225352
Haldia,142.59333333333333
Tonk,142.0608108108108
Aurangabad,141.47602739726028
Chittorgarh,141.27027027027026
Bhagalpur,140.84137931034482
Jodhpur,140.24666666666667
Vapi,139.19565217391303
Yamunanagar,138.8235294117647
Siwan,138.44736842105263
Meerut,137.79333333333332
Bhopal,137.30666666666667
Dharuhera,136.6
Katni,136.4421768707483
Buxar,136.14598540145985
Kurukshetra,135.83333333333334
Munger,135.80575539568346
Muzaffarnagar,135.15436241610738
Tumidih,134.82258064516128
Jaisalmer,134.59333333333333
Belapur,134.23611111111111
Ahmedabad,133.49333333333334
Mandi Gobindgarh,132.5090909090909
Pune,132.2
Bhilwara,131.85714285714286
Motihari,131.67153284671534
Ratlam,131.486301369863
Siliguri,131.47517730496455
Arrah,131.23140495867767
Kaithal,130.88888888888889
Chandrapur,130.56666666666666
Panchgaon,130.48
Nagpur,129.91333333333333
Samastipur,129.6220472440945
Hapur,129.15602836879432
Bhubaneswar,128.95138888888889
Nayagarh,128.544
Gorakhpur,128.45578231292518
Udaipur,127.0952380952381
Gaya,127.07333333333334
Visakhapatnam,126.11111111111111
Banswara,125.95238095238095
Pimpri Chinchwad,125.9
Gummidipoondi,125.69655172413793
Nagaon,124.92700729927007
Dewas,124.57432432432432
Dungarpur,124.38571428571429
Panipat,124.3125
Baran,124.16666666666667
Baripada,123.53488372093024
Barmer,123.24
Suakati,123.07518796992481
Badlapur,122.93055555555556
Bhiwandi,122.45
Navi Mumbai,122.26
Raichur,121.81818181818181
Kolkata,121.47333333333333
Dholpur,121.45714285714286
Chhapra,121.34782608695652
Rairangpur,120.96610169491525
Ambala,120.66666666666667
Jorapokhar,120.64285714285714
Tensa,120.58865248226951
Ulhasnagar,119.60416666666667
Nanded,119.45774647887323
Mumbai,119.0
Mahad,118.8273381294964
Malegaon,118.73722627737226
Karnal,118.61111111111111
Rajsamand,118.51369863013699
Pratapgarh,116.89795918367346
Manguraha,116.80645161290323
Vatva,116.64827586206897
Nashik,116.51333333333334
Katihar,116.5078125
Kalyan,116.43333333333334
Jalgaon,116.11486486486487
Rupnagar,116.04166666666667
Jalna,114.18487394957984
Mira Bhayandar,113.7593984962406
Bharatpur,113.38666666666667
Karauli,113.31851851851852
Jhalawar,112.96
Sangli,112.546875
Boisar,111.43262411347517
Ankleshwar,111.2
Parbhani,110.63235294117646
Latur,109.84353741496598
Ludhiana,109.29530201342281
Solapur,108.64864864864865
Virar,108.64788732394366
Kanpur,107.96666666666667
Gandhi Nagar,107.18791946308725
Thane,106.0
Milupara,105.37755102040816
Sirohi,105.1103448275862
Vrindavan,104.94405594405595
Dehradun,104.42657342657343
Imphal,104.28282828282828
Kashipur,103.40310077519379
Sagar,103.23489932885906
Akola,103.21333333333334
